1 	 	 2 	 	 3 	
T 	 DT 	 T 	 DT 	 T 	 DT	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,94	0	
27,19	0	28	0	26,87	-0,0700000000000003	
27,19	0	28	0	26,87	0	
27,19	0	28	0	26,94	0,0700000000000003	
27,19	0	28	0	26,94	0	
27,12	-0,0700000000000003	28	0	26,87	-0,0700000000000003	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,87	0	
27,12	0	28	0	26,81	-0,0600000000000023	
27,12	0	28	0	26,81	0	
27,12	0	28	0	26,81	0	
27,12	0	28	0	26,81	0	
27,12	0	28	0	26,81	0	
27,12	0	28	0	26,81	0	
27,12	0	28	0	26,81	0	
27,12	0	28	0	26,81	0	
27,06	-0,0600000000000023	28	0	26,81	0	
27,06	0	28	0	26,81	0	
27,06	0	28	0	26,81	0	
27,06	0	28	0	26,81	0	
27,06	0	28	0	26,75	-0,0599999999999987	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,75	0	
27,06	0	28	0	26,69	-0,0599999999999987	
27,06	0	28	0	26,69	0	
27	-0,0599999999999987	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,69	0	
27	0	28	0	26,62	-0,0700000000000003	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,62	0	
27	0	28	0	26,56	-0,0600000000000023	
27	0	28	0	26,56	0	
27	0	28	0	26,56	0	
27	0	28	0	26,56	0	
26,94	-0,0599999999999987	28	0	26,56	0	
26,94	0	28	0	26,56	0	
27	0,0599999999999987	28	0	26,56	0	
27	0	28	0	26,56	0	
27	0	28	0	26,56	0	
27	0	28	0	26,56	0	
26,94	-0,0599999999999987	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,5	-0,0599999999999987	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,56	0,0599999999999987	
26,94	0	28	0	26,56	0	
26,94	0	28	0	26,5	-0,0599999999999987	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,94	0	28	0	26,5	0	
26,87	-0,0700000000000003	28	0	26,44	-0,0599999999999987	
26,87	0	28	0	26,44	0	
26,94	0,0700000000000003	28	0	26,44	0	
26,94	0	28	0	26,44	0	
26,94	0	28	0	26,44	0	
26,94	0	28	0	26,44	0	
26,87	-0,0700000000000003	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,44	0	
26,87	0	28	0	26,37	-0,0700000000000003	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,37	0	
26,87	0	28	0	26,31	-0,0600000000000023	
26,87	0	28	0	26,31	0	
26,87	0	28	0	26,31	0	
26,87	0	28	0	26,31	0	
26,87	0	28	0	26,31	0	
26,87	0	28	0	26,31	0	
26,87	0	28	0	26,31	0	
26,87	0	28	0	26,31	0	
26,81	-0,0600000000000023	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,31	0	
26,81	0	28	0	26,25	-0,0599999999999987	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,81	0	28	0	26,25	0	
26,75	-0,0599999999999987	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,25	0	
26,75	0	28	0	26,19	-0,0599999999999987	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,75	0	28	0	26,19	0	
26,69	-0,0599999999999987	28	0	26,19	0	
26,69	0	28	0	26,19	0	
26,69	0	28	0	26,19	0	
26,69	0	28	0	26,19	0	
26,69	0	28	0	26,19	0	
26,69	0	28	0	26,19	0	
26,69	0	28	0	26,12	-0,0700000000000003	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
26,69	0	28	0	26,12	0	
